Тикер;Шаг цены;Комиссия;Начало периода;Конец периода;Индекс начала периода;Индекс конца периода;Полное название стратегии;Сокращенное название стратегии;Описание стратегии
RTS.F;10;2.5;18 12 2020;17 06 2021;16;17;Обратная MonkeyN;Обратная MonkeyN;[ Обратная | MonkeyN | Тип закрытия: FixPercect | N: 100 | Stop: 100 | Уровень ранзака: 3 | % Закрытия: 100 | Фильтр вне ранзака: False | Фильтр выше-ниже: True | Динамический стоп: True ]

Направление;Тип закрытия;Индекс входа;Индекс выхода;Цена входа;Цена выхода;Причина входа;Причина выхода
S;Stop;114957612;114957744;127600;127600;;;
S;Stop;114957743;114957816;127590;127690;;;
B;Stop;114957933;114958017;127670;127570;;;
B;Stop;114957793;114958017;127570;127570;;;
B;Stop;114957569;114958019;127550;127550;;;
S;Stop;114958076;114958151;127620;127720;;;
S;Stop;114958707;114958881;127860;127960;;;
B;Stop;114958626;114959070;127830;127830;;;
B;Stop;114958964;114959071;127920;127820;;;
B;Stop;114959692;114959717;127500;127400;;;
S;SoftwareClose;114959892;114959977;127470;127350;Фиксированная 4;;
S;SoftwareClose;114959790;114959977;127500;127350;Фиксированная 3;;
S;SoftwareClose;114959597;114959977;127550;127350;Фиксированная 2;;
S;SoftwareClose;114959321;114959977;127730;127350;Фиксированная 1;;
S;Stop;114960023;114960087;127440;127540;;;
B;Stop;114960197;114960321;127570;127470;;;
S;Stop;114960584;114960731;127390;127490;;;
B;Stop;114960756;114960827;127400;127300;;;
S;Stop;114961625;114961978;127100;127200;;;
B;Stop;114962335;114962395;127220;127120;;;
S;Stop;114962426;114962556;127200;127200;;;
S;Stop;114962555;114962595;127190;127290;;;
B;Stop;114963752;114963812;127690;127590;;;
S;Stop;114963978;114964120;127620;127720;;;
B;Stop;114964223;114964382;127650;127650;;;
B;Stop;114964311;114964384;127730;127630;;;
B;SoftwareClose;114963269;114964485;127450;127660;Фиксированная 4;;
B;SoftwareClose;114963007;114964485;127320;127660;Фиксированная 3;;
B;SoftwareClose;114962756;114964485;127250;127660;Фиксированная 2;;
B;SoftwareClose;114961858;114964485;127050;127660;Фиксированная 1;;
S;Stop;114964656;114964958;127570;127570;;;
S;Stop;114964899;114965057;127490;127590;;;
B;Stop;114965099;114965140;127490;127390;;;
S;Stop;114965563;114965606;127360;127460;;;
S;SoftwareClose;114964481;114965607;127670;127450;Фиксированная 1;;
B;Stop;114965816;114965944;127500;127400;;;
S;Stop;114966308;114966385;127310;127410;;;
B;Stop;114966469;114966544;127350;127350;;;
B;Stop;114966528;114966571;127370;127270;;;
S;Stop;114966735;114967000;127290;127290;;;
S;Stop;114966974;114967350;127240;127240;;;
S;Stop;114967335;114967366;127190;127290;;;
S;Stop;114967562;114967664;127350;127450;;;
B;Stop;114967437;114967747;127300;127300;;;
B;Stop;114967693;114967752;127350;127250;;;
S;Stop;114967796;114967824;127350;127450;;;
B;Stop;114967901;114968070;127350;127250;;;
S;Stop;114968164;114968437;127280;127280;;;
S;Stop;114968359;114968442;127210;127310;;;
B;Stop;114968485;114968647;127210;127110;;;
S;Stop;114968516;114968664;127260;127260;;;
S;Stop;114968660;114968673;127210;127310;;;
B;Stop;114969057;114969133;127410;127310;;;
B;Stop;114968744;114969264;127300;127300;;;
B;Stop;114969230;114969531;127350;127250;;;
S;Stop;114969928;114970177;127130;127230;;;
S;Stop;114969689;114970182;127240;127240;;;
B;Stop;114970347;114970472;127240;127140;;;
